2019-04-18 09:03:46,821 [AUDIT] Token created by 'anonymous': tokenId='ca0c3409-9e8a-4dfd-887f-606a68e643ee', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 09:16:13,660 [AUDIT] Token created by 'anonymous': tokenId='8baea2f8-1762-4cc9-864d-9b44a7551ed8', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 09:25:04,977 [AUDIT] Token created by 'anonymous': tokenId='5f8ed621-e255-44f1-aa5f-9ec377f42cb2', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 09:45:45,980 [AUDIT] Token created by 'anonymous': tokenId='3f3627dc-c2f9-4d18-ad88-d320a979da96', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 11:37:17,442 [AUDIT] Token created by 'anonymous': tokenId='0d624dc2-7f9e-4835-88b2-716f875937dc', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 11:59:31,325 [AUDIT] Token created by 'anonymous': tokenId='8e607b7a-36df-44dc-9b9b-b85a2938f843', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 12:21:35,151 [AUDIT] Token created by 'anonymous': tokenId='91aab937-6912-426a-ab2a-6370b5d04649', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 12:33:51,970 [AUDIT] Token created by 'anonymous': tokenId='1774289d-3d7e-4fa3-b63a-1275ffce3cb4', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 13:25:29,503 [AUDIT] Token created by 'anonymous': tokenId='5b4235c0-b8a7-4232-9b3f-77141fa7f44f', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 13:33:28,356 [AUDIT] Token created by 'anonymous': tokenId='4eb0bdd1-191f-426f-b8a6-1a80a6fb3616', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 13:40:31,698 [AUDIT] Token created by 'anonymous': tokenId='3286bcc8-56a5-4375-9918-8992dfc7e573', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 13:43:33,300 [AUDIT] Token created by 'anonymous': tokenId='748db8a8-d8e2-44b9-9f93-f01a816c490c', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 13:54:40,384 [AUDIT] Token created by 'anonymous': tokenId='b1015e92-5ca6-46f3-ba66-8db16353e917', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 14:03:13,444 [AUDIT] Token created by 'anonymous': tokenId='163c78b0-bcde-4c94-b036-cd550137d512', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 14:18:22,332 [AUDIT] Token created by 'anonymous': tokenId='bcc2fbb6-060a-41f4-abde-1583bacd1810', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 14:23:47,653 [AUDIT] Token created by 'anonymous': tokenId='f8365013-5c59-4e04-afe9-9d847c3ebb3a', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 14:29:47,681 [AUDIT] Token created by 'anonymous': tokenId='ad7cb563-26a6-408b-96cf-64a09e3574ab', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-18 14:36:54,685 [AUDIT] Token created by 'anonymous': tokenId='f400e868-75a9-4b15-8bb6-678a5815c90c', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-19 08:40:13,296 [AUDIT] Token created by 'anonymous': tokenId='8f4a8095-5b07-4cb6-88c8-9e79762afaac', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-19 08:44:55,507 [AUDIT] Token created by 'anonymous': tokenId='6c028a6e-e2be-4f67-a6c4-096e7c4f05c2', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-19 08:54:04,817 [AUDIT] Token created by 'anonymous': tokenId='02e386ff-55fd-41bd-8138-059c5e39bf12', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-19 09:10:54,500 [AUDIT] Token created by 'anonymous': tokenId='7ded321f-ca24-4a54-9907-3e5a7651a621', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-19 09:15:59,999 [AUDIT] Token created by 'anonymous': tokenId='08dc88b5-a82f-421a-ac61-aaf5ba03afc4', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
2019-04-19 09:28:33,216 [AUDIT] Token created by 'anonymous': tokenId='9c8055b6-f29f-450c-9159-afb934532122', issuer='jfrt@01d8qtzt523pjz1zsnh74b0bqb', subject='jfrt@01d8qtzt523pjz1zsnh74b0bqb', expiry=none, refreshable=false
